n_patterns,avg_time_ms,total_matches,total_bytes
25928,89.738101,36817,100000
26008,89.595529,36855,100000
26088,89.084347,37112,100000
26168,89.564259,37112,100000
26248,89.781659,37299,100000
26328,91.923889,37264,100000
26408,91.059824,37736,100000
26488,91.770726,37614,100000
26568,89.955488,38047,100000
26648,93.331057,37660,100000
26728,93.014437,38157,100000
26808,90.874294,37950,100000
26888,93.143160,38223,100000
26968,91.499717,38176,100000
27048,93.153709,38631,100000
27128,94.638978,38365,100000
27208,95.306706,38633,100000
27288,91.270155,38503,100000
27368,88.103543,38787,100000
27448,97.648875,38949,100000
27528,91.672002,38917,100000
27608,96.662878,39036,100000
27688,94.613737,39306,100000
27768,98.509593,39007,100000
27848,97.263065,39716,100000
27928,96.813023,39551,100000
28008,94.626977,39975,100000
28088,94.214703,39849,100000
28168,96.709160,40094,100000
28248,96.331710,40167,100000
28328,99.110723,40059,100000
28408,102.638374,40277,100000
28488,98.248924,40579,100000
28568,99.885436,40434,100000
28648,99.530459,40713,100000
28728,98.892467,40947,100000
28808,102.121661,41026,100000
28888,99.412864,41119,100000
28968,100.211608,41086,100000
29048,100.495499,41011,100000
29128,100.958015,41185,100000
29208,104.925150,41231,100000
29288,106.572787,41689,100000
29368,102.108472,41900,100000
29448,103.700183,41930,100000
29528,105.563056,42186,100000
29608,104.890308,41919,100000
29688,103.357276,41932,100000
29768,101.939311,42065,100000
29848,116.749938,42369,100000
29928,104.770679,42386,100000
30008,105.804717,42355,100000
30088,104.151050,42638,100000
30168,105.284638,42653,100000
30248,108.818503,43177,100000
30328,115.121741,42755,100000
30408,112.920689,43040,100000
30488,112.322317,43230,100000
30568,110.632494,43358,100000
30648,105.770140,43783,100000
30728,110.842518,43557,100000
30808,135.748311,44023,100000
30888,139.769486,43936,100000
30968,116.433825,44240,100000
31048,112.045201,43722,100000
31128,108.972887,44077,100000
31208,109.121674,44345,100000
31288,109.438675,44445,100000
31368,109.897897,44865,100000
31448,111.460927,44572,100000
31528,111.560848,44269,100000
31608,110.930000,44992,100000
31688,110.801102,44908,100000
31768,111.674890,44810,100000
31848,112.967372,45351,100000
31928,113.905967,45109,100000
32008,111.712769,45465,100000
32088,116.438337,45559,100000
32168,113.577961,45895,100000
32248,114.213558,45775,100000
32328,113.984091,45811,100000
32408,113.337415,46036,100000
32488,116.837438,46024,100000
32568,114.070401,46195,100000
32648,116.376496,46096,100000
32728,118.755235,46365,100000
32808,117.763774,46458,100000
32888,119.357548,46623,100000
32968,117.341815,47041,100000
33048,117.496923,47023,100000
33128,118.700447,46962,100000
33208,122.301864,47114,100000
33288,122.452265,47189,100000
33368,120.900143,47314,100000
33448,122.575821,47778,100000
33528,122.590091,47512,100000
33608,123.900024,47878,100000
33688,121.685517,47817,100000
33768,123.540086,47985,100000
33848,121.557906,48216,100000
33928,127.349525,48033,100000
34008,122.951623,48284,100000
34088,129.927775,48437,100000
34168,141.657296,48649,100000
34248,126.792871,48708,100000
34328,130.508365,48685,100000
34408,127.954827,48826,100000
34488,129.472390,48869,100000
34568,128.667888,49033,100000
34648,124.316687,49071,100000
34728,127.777672,49131,100000
34808,124.905553,49580,100000
34888,130.289604,49437,100000
34968,133.941079,49750,100000
35048,129.310015,49790,100000
35128,129.244331,49842,100000
35208,132.534686,49888,100000
35288,132.167171,50280,100000
35368,132.312318,50085,100000
35448,132.712600,50311,100000
35528,132.879855,50387,100000
35608,130.234941,50431,100000
35688,129.644721,50458,100000
35768,131.585356,50633,100000
35848,131.972072,50986,100000
35928,133.340682,50799,100000
36008,132.092684,51390,100000
36088,128.964976,51241,100000
36168,131.541259,51294,100000
36248,130.522235,51425,100000
36328,131.814955,51530,100000
36408,136.997300,51691,100000
36488,136.388591,51865,100000
36568,137.903626,51868,100000
36648,140.928700,51840,100000
36728,141.438793,52097,100000
36808,146.351956,52506,100000
36888,144.613962,52212,100000
36968,140.619883,52700,100000
37048,140.446594,52424,100000
37128,140.345714,52657,100000
37208,138.902991,52901,100000
37288,137.483331,53070,100000
37368,137.685140,52986,100000
37448,141.293145,53398,100000
37528,138.049121,53289,100000
37608,137.464662,53398,100000
37688,143.029531,53353,100000
37768,140.503842,53637,100000
37848,138.476454,53713,100000
37928,143.744268,53616,100000
38008,139.509236,54206,100000
38088,140.807274,54075,100000
38168,144.394159,54356,100000
38248,147.725810,54025,100000
38328,140.281437,54212,100000
38408,142.608015,54643,100000
38488,146.227073,54744,100000
38568,162.649062,54704,100000
38648,161.940222,54662,100000
38728,160.572846,55073,100000
38808,167.693838,54980,100000
38888,170.065649,54964,100000
38968,162.282371,55315,100000
39048,161.917004,55491,100000
39128,161.085605,55500,100000
39208,162.711966,55995,100000
39288,169.200057,55814,100000
39368,170.500165,56002,100000
39448,165.189310,55831,100000
39528,165.784560,55983,100000
39608,165.971500,56144,100000
39688,163.728678,56277,100000
39768,151.335942,56785,100000
39848,151.202390,56439,100000
39928,147.800006,56646,100000
40008,155.543096,56631,100000
40088,156.326903,57155,100000
40168,149.675797,57144,100000
40248,152.992341,57079,100000
40328,150.721496,56990,100000
40408,152.673293,57261,100000
40488,162.936428,57233,100000
40568,158.890424,57854,100000
40648,159.226174,57263,100000
40728,158.062023,57968,100000
40808,170.199707,57851,100000
40888,159.654855,58082,100000
40968,160.007607,58044,100000
41048,153.012161,58439,100000
41128,155.801977,58339,100000
41208,154.385092,58282,100000
41288,144.550882,58677,100000
41368,140.261908,58712,100000
41448,139.803140,58790,100000
41528,142.819540,59236,100000
41608,141.817834,59188,100000
41688,145.033685,59033,100000
41768,141.966622,59323,100000
41848,135.719230,59375,100000
41928,140.678096,59557,100000
42008,138.389355,59659,100000
42088,137.437643,59754,100000
42168,140.583119,59971,100000
42248,137.463312,59986,100000
42328,137.354342,60063,100000
42408,138.381333,60131,100000
42488,141.235875,60016,100000
42568,139.008475,60451,100000
42648,138.797248,60672,100000
42728,140.746430,60632,100000
42808,138.155790,61029,100000
42888,137.920265,60802,100000
42968,138.771418,61039,100000
43048,140.337573,60974,100000
